PERMNO,date,COMNAM,PRC
86580,2022-01-03,NVIDIA CORP,301.20999
86580,2022-01-04,NVIDIA CORP,292.89999
86580,2022-01-05,NVIDIA CORP,276.04001
86580,2022-01-06,NVIDIA CORP,281.78000
86580,2022-01-07,NVIDIA CORP,272.47000
86580,2022-01-10,NVIDIA CORP,274.00000
86580,2022-01-11,NVIDIA CORP,278.17001
86580,2022-01-12,NVIDIA CORP,279.98999
86580,2022-01-13,NVIDIA CORP,265.75000
86580,2022-01-14,NVIDIA CORP,269.42001
86580,2022-01-18,NVIDIA CORP,259.03000
86580,2022-01-19,NVIDIA CORP,250.67000
86580,2022-01-20,NVIDIA CORP,241.50000
86580,2022-01-21,NVIDIA CORP,233.74001
86580,2022-01-24,NVIDIA CORP,233.72000
86580,2022-01-25,NVIDIA CORP,223.24001
86580,2022-01-26,NVIDIA CORP,227.72000
86580,2022-01-27,NVIDIA CORP,219.44000
86580,2022-01-28,NVIDIA CORP,228.39999
86580,2022-01-31,NVIDIA CORP,244.86000
86580,2022-02-01,NVIDIA CORP,246.38000
86580,2022-02-02,NVIDIA CORP,252.42000
86580,2022-02-03,NVIDIA CORP,239.48000
86580,2022-02-04,NVIDIA CORP,243.19000
86580,2022-02-07,NVIDIA CORP,247.28000
86580,2022-02-08,NVIDIA CORP,251.08000
86580,2022-02-09,NVIDIA CORP,267.04999
86580,2022-02-10,NVIDIA CORP,258.23999
86580,2022-02-11,NVIDIA CORP,239.49001
86580,2022-02-14,NVIDIA CORP,242.67000
86580,2022-02-15,NVIDIA CORP,264.95001
86580,2022-02-16,NVIDIA CORP,265.10999
86580,2022-02-17,NVIDIA CORP,245.07001
86580,2022-02-18,NVIDIA CORP,236.42000
86580,2022-02-22,NVIDIA CORP,233.89999
86580,2022-02-23,NVIDIA CORP,223.87000
86580,2022-02-24,NVIDIA CORP,237.48000
86580,2022-02-25,NVIDIA CORP,241.57001
86580,2022-02-28,NVIDIA CORP,243.85001
86580,2022-03-01,NVIDIA CORP,234.77000
86580,2022-03-02,NVIDIA CORP,242.20000
86580,2022-03-03,NVIDIA CORP,237.14000
86580,2022-03-04,NVIDIA CORP,229.36000
86580,2022-03-07,NVIDIA CORP,213.52000
86580,2022-03-08,NVIDIA CORP,215.14000
86580,2022-03-09,NVIDIA CORP,230.14000
86580,2022-03-10,NVIDIA CORP,226.58000
86580,2022-03-11,NVIDIA CORP,221.00000
86580,2022-03-14,NVIDIA CORP,213.30000
86580,2022-03-15,NVIDIA CORP,229.73000
86580,2022-03-16,NVIDIA CORP,244.96001
86580,2022-03-17,NVIDIA CORP,247.66000
86580,2022-03-18,NVIDIA CORP,264.53000
86580,2022-03-21,NVIDIA CORP,267.34000
86580,2022-03-22,NVIDIA CORP,265.23999
86580,2022-03-23,NVIDIA CORP,256.34000
86580,2022-03-24,NVIDIA CORP,281.50000
86580,2022-03-25,NVIDIA CORP,276.92001
86580,2022-03-28,NVIDIA CORP,282.19000
86580,2022-03-29,NVIDIA CORP,286.56000
86580,2022-03-30,NVIDIA CORP,276.89999
86580,2022-03-31,NVIDIA CORP,272.85999
86580,2022-04-01,NVIDIA CORP,267.12000
86580,2022-04-04,NVIDIA CORP,273.60001
86580,2022-04-05,NVIDIA CORP,259.31000
86580,2022-04-06,NVIDIA CORP,244.07001
86580,2022-04-07,NVIDIA CORP,242.08000
86580,2022-04-08,NVIDIA CORP,231.19000
86580,2022-04-11,NVIDIA CORP,219.17000
86580,2022-04-12,NVIDIA CORP,215.03999
86580,2022-04-13,NVIDIA CORP,222.03000
86580,2022-04-14,NVIDIA CORP,212.58000
86580,2022-04-18,NVIDIA CORP,217.83000
86580,2022-04-19,NVIDIA CORP,221.98000
86580,2022-04-20,NVIDIA CORP,214.82001
86580,2022-04-21,NVIDIA CORP,201.83000
86580,2022-04-22,NVIDIA CORP,195.14999
86580,2022-04-25,NVIDIA CORP,199.02000
86580,2022-04-26,NVIDIA CORP,187.88000
86580,2022-04-27,NVIDIA CORP,184.14999
86580,2022-04-28,NVIDIA CORP,197.82001
86580,2022-04-29,NVIDIA CORP,185.47000
86580,2022-05-02,NVIDIA CORP,195.33000
86580,2022-05-03,NVIDIA CORP,196.02000
86580,2022-05-04,NVIDIA CORP,203.34000
86580,2022-05-05,NVIDIA CORP,188.44000
86580,2022-05-06,NVIDIA CORP,186.75000
86580,2022-05-09,NVIDIA CORP,169.50000
86580,2022-05-10,NVIDIA CORP,175.95000
86580,2022-05-11,NVIDIA CORP,166.30000
86580,2022-05-12,NVIDIA CORP,161.75000
86580,2022-05-13,NVIDIA CORP,177.06000
86580,2022-05-16,NVIDIA CORP,172.64000
86580,2022-05-17,NVIDIA CORP,181.77000
86580,2022-05-18,NVIDIA CORP,169.38000
86580,2022-05-19,NVIDIA CORP,171.24001
86580,2022-05-20,NVIDIA CORP,166.94000
86580,2022-05-23,NVIDIA CORP,168.98000
86580,2022-05-24,NVIDIA CORP,161.53999
86580,2022-05-25,NVIDIA CORP,169.75000
86580,2022-05-26,NVIDIA CORP,178.50999
86580,2022-05-27,NVIDIA CORP,188.11000
86580,2022-05-31,NVIDIA CORP,186.72000
86580,2022-06-01,NVIDIA CORP,183.20000
86580,2022-06-02,NVIDIA CORP,195.92000
86580,2022-06-03,NVIDIA CORP,187.20000
86580,2022-06-06,NVIDIA CORP,187.86000
86580,2022-06-07,NVIDIA CORP,189.25999
86580,2022-06-08,NVIDIA CORP,186.48000
86580,2022-06-09,NVIDIA CORP,180.48000
86580,2022-06-10,NVIDIA CORP,169.74001
86580,2022-06-13,NVIDIA CORP,156.47000
86580,2022-06-14,NVIDIA CORP,158.36000
86580,2022-06-15,NVIDIA CORP,165.27000
86580,2022-06-16,NVIDIA CORP,156.00999
86580,2022-06-17,NVIDIA CORP,158.80000
86580,2022-06-21,NVIDIA CORP,165.66000
86580,2022-06-22,NVIDIA CORP,163.60001
86580,2022-06-23,NVIDIA CORP,162.25000
86580,2022-06-24,NVIDIA CORP,171.25999
86580,2022-06-27,NVIDIA CORP,168.69000
86580,2022-06-28,NVIDIA CORP,159.82001
86580,2022-06-29,NVIDIA CORP,155.42000
86580,2022-06-30,NVIDIA CORP,151.59000
86580,2022-07-01,NVIDIA CORP,145.23000
86580,2022-07-05,NVIDIA CORP,149.64000
86580,2022-07-06,NVIDIA CORP,151.30000
86580,2022-07-07,NVIDIA CORP,158.58000
86580,2022-07-08,NVIDIA CORP,158.38000
86580,2022-07-11,NVIDIA CORP,151.52000
86580,2022-07-12,NVIDIA CORP,150.82001
86580,2022-07-13,NVIDIA CORP,151.64000
86580,2022-07-14,NVIDIA CORP,153.72000
86580,2022-07-15,NVIDIA CORP,157.62000
86580,2022-07-18,NVIDIA CORP,161.00999
86580,2022-07-19,NVIDIA CORP,169.92000
86580,2022-07-20,NVIDIA CORP,178.07001
86580,2022-07-21,NVIDIA CORP,180.50000
86580,2022-07-22,NVIDIA CORP,173.19000
86580,2022-07-25,NVIDIA CORP,170.24001
86580,2022-07-26,NVIDIA CORP,165.33000
86580,2022-07-27,NVIDIA CORP,177.89999
86580,2022-07-28,NVIDIA CORP,179.84000
86580,2022-07-29,NVIDIA CORP,181.63000
86580,2022-08-01,NVIDIA CORP,184.41000
86580,2022-08-02,NVIDIA CORP,185.25999
86580,2022-08-03,NVIDIA CORP,188.92999
86580,2022-08-04,NVIDIA CORP,192.14999
86580,2022-08-05,NVIDIA CORP,189.89000
86580,2022-08-08,NVIDIA CORP,177.92999
86580,2022-08-09,NVIDIA CORP,170.86000
86580,2022-08-10,NVIDIA CORP,180.97000
86580,2022-08-11,NVIDIA CORP,179.42000
86580,2022-08-12,NVIDIA CORP,187.09000
86580,2022-08-15,NVIDIA CORP,190.32001
86580,2022-08-16,NVIDIA CORP,188.78999
86580,2022-08-17,NVIDIA CORP,183.35001
86580,2022-08-18,NVIDIA CORP,187.73000
86580,2022-08-19,NVIDIA CORP,178.49001
86580,2022-08-22,NVIDIA CORP,170.34000
86580,2022-08-23,NVIDIA CORP,171.81000
86580,2022-08-24,NVIDIA CORP,172.22000
86580,2022-08-25,NVIDIA CORP,179.13000
86580,2022-08-26,NVIDIA CORP,162.60001
86580,2022-08-29,NVIDIA CORP,158.00999
86580,2022-08-30,NVIDIA CORP,154.67999
86580,2022-08-31,NVIDIA CORP,150.94000
86580,2022-09-01,NVIDIA CORP,139.37000
86580,2022-09-02,NVIDIA CORP,136.47000
86580,2022-09-06,NVIDIA CORP,134.64999
86580,2022-09-07,NVIDIA CORP,137.14000
86580,2022-09-08,NVIDIA CORP,139.89999
86580,2022-09-09,NVIDIA CORP,143.87000
86580,2022-09-12,NVIDIA CORP,145.05000
86580,2022-09-13,NVIDIA CORP,131.31000
86580,2022-09-14,NVIDIA CORP,131.28000
86580,2022-09-15,NVIDIA CORP,129.28999
86580,2022-09-16,NVIDIA CORP,131.98000
86580,2022-09-19,NVIDIA CORP,133.82001
86580,2022-09-20,NVIDIA CORP,131.75999
86580,2022-09-21,NVIDIA CORP,132.61000
86580,2022-09-22,NVIDIA CORP,125.61000
86580,2022-09-23,NVIDIA CORP,125.16000
86580,2022-09-26,NVIDIA CORP,122.28000
86580,2022-09-27,NVIDIA CORP,124.13000
86580,2022-09-28,NVIDIA CORP,127.36000
