caldt,vwretd,vwretx,ewretd,ewretx,totval,totcnt,usdval,usdcnt,spindx,sprtrn
19570102,-0.009802,-0.009802,-0.000222,-0.000222,73182361.8,91,73906764,91,,
19570103,0.008416,0.008416,0.006109,0.006109,73798244.8,91,73182361.8,91,,
19570104,0.001393,0.001393,0.005468,0.005468,73901029.2,91,73798244.8,91,,
19570107,-0.004444,-0.004444,0.000249,0.000249,73572587.9,91,73901029.2,91,,
19570108,-0.003637,-0.003637,-0.000901,-0.000901,73304976.8,91,73572587.9,91,,
19570109,-0.002379,-0.002379,-0.000955,-0.000955,73130567.8,91,73304976.8,91,,
19570110,0.003054,0.003025,0.005326,0.005205,73351784.4,91,73130567.8,91,,
19570111,-0.002031,-0.002031,-0.000159,-0.000159,73202793.9,91,73351784.4,91,,
19570114,-0.007403,-0.007412,-0.00633,-0.006491,72660195,91,73202793.9,91,,
19570115,-0.014347,-0.014538,-0.008383,-0.008917,71603836.6,91,72660195,91,,
19570116,0.001114,0.001093,0.001245,0.001065,71682133.1,91,71603836.6,91,,
19570117,0.000017,0.000017,-0.003139,-0.003139,71683339.5,91,71682133.1,91,,
19570118,-0.013267,-0.013267,-0.010637,-0.010637,70732332.6,91,71683339.5,91,,
19570121,-0.004921,-0.004999,-0.003979,-0.004113,70378761,91,70732332.6,91,,
19570122,0.002664,0.002578,0.002167,0.002055,70327154.2,91,70146349.5,89,,
19570123,0.007366,0.007366,0.006935,0.006935,71079297.6,91,70327154.2,89,,
19570124,0.003511,0.003511,0.001624,0.001624,71328881.9,91,71079297.6,91,,
19570125,-0.004796,-0.004796,-0.003866,-0.003866,70986777.1,91,71328881.9,91,,
19570128,-0.007125,-0.007125,-0.005463,-0.005463,70480986.4,91,70986777.1,91,,
19570129,0.005038,0.004206,0.005585,0.0051,70777396,91,70480986.4,91,,
19570130,0.005438,0.005297,0.004134,0.003822,71152315.4,91,70777396,91,,
19570131,-0.004466,-0.004466,-0.002506,-0.002506,70834520.5,91,71152315.4,91,,
19570201,-0.002646,-0.002646,-0.003354,-0.003354,70647070,91,70834520.5,91,,
19570204,-0.00129,-0.00129,-0.000992,-0.000992,70555953.3,91,70647070,91,,
19570205,-0.013086,-0.014537,-0.012877,-0.014087,69530278.5,91,70555953.3,91,,
19570206,0.000719,-0.001056,0.001258,0.000943,69456868.1,91,69530278.5,91,,
19570207,-0.004989,-0.004989,-0.006322,-0.006322,69110335.2,91,69456868.1,91,,
19570208,-0.004951,-0.006958,-0.005584,-0.005719,68643712.5,91,69110335.2,91,,
19570211,-0.017165,-0.017613,-0.018841,-0.019802,67434696.1,91,68643712.5,91,,
19570212,-0.004074,-0.004074,-0.004019,-0.004019,67159969,91,67434696.1,91,,
19570213,0.01585,0.015471,0.014618,0.014097,68198987.9,91,67159969,91,,
19570214,-0.001069,-0.001424,-0.001345,-0.001497,68101858.1,91,68198987.9,91,,
19570215,0.012101,0.012101,0.011165,0.011165,68925957.5,91,68101858.1,91,,
19570218,-0.000787,-0.001281,-0.001115,-0.002291,68591277.3,91,68679287.5,90,,
19570219,0.000777,0.000526,-0.000613,-0.000915,68874041.2,91,68591277.3,90,,
19570220,0.0036,0.00352,0.002609,0.002317,68942075.6,91,68700273.2,90,,
19570221,-0.003813,-0.003842,-0.003731,-0.003822,68849424,91,68942075.6,90,,
19570225,-0.002023,-0.002023,0.001399,0.001399,68571963.5,91,68715574.5,90,,
19570226,0.001801,0.001182,0.001249,0.000191,68801524,91,68571963.5,90,,
19570227,-0.000255,-0.000407,0.001522,0.001172,68773512.5,91,68801524,91,,
